symbol,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,initial_capital,final_equity,net_pnl,total_return_pct,total_trades,win_rate_pct,max_drawdown_pct,sharpe_ratio
TATAMOTORS,25,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,65,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,65,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,25,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,70,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,70,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,25,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,75,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,75,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,65,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,65,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,70,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,70,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,75,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,75,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,65,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,65,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,70,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,70,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,75,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,75,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
INFY,25,65,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,65,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,65,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,65,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,65,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,65,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,25,70,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
